ID,Food Name,Kcal,Protein,Carbohydrate,Fiber,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat
1999631,"Almond milk, unsweetened, plain, shelf stable",14.548000000000002,0.555,0.337,0.0,1.22,0.104,0.729,0.276,0.0
1999632,"Spinach, baby",29.731,2.85,2.41,1.56,0.619,0.0,0.0,0.0,0.0
1999633,"Spinach, mature",30.816000000000003,2.91,2.64,1.59,0.604,0.0,0.0,0.0,0.0
1999634,"Tomato, roma",23.910999999999998,0.696,3.84,0.971,0.425,0.0,0.0,0.0,0.0
2003586,"Flour, 00",362.20000000000005,11.4,74.4,2.66,1.52,0.0,0.0,0.0,0.0
2003587,"Flour, spelt, whole grain",382.34000000000003,14.5,70.7,9.34,2.54,0.0,0.0,0.0,0.0
2003588,"Flour, semolina, coarse and semi-coarse",362.84,11.7,73.8,3.22,1.6,0.0,0.0,0.0,0.0
2003589,"Flour, semolina, fine",365.12,13.3,72.0,3.68,1.84,0.0,0.0,0.0,0.0
2003590,"Apple juice, with added vitamin C, from concentrate, shelf stable",48.518,0.086,11.4,0.0,0.286,0.0,0.0,0.0,0.0
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",47.061,0.734,10.3,0.0,0.325,0.0,0.0,0.0,0.0
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",66.024,0.258,15.6,0.0,0.288,0.0,0.0,0.0,0.0
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",65.961,0.094,15.8,0.0,0.265,0.0,0.0,0.0,0.0
2003594,"Cranberry juice, not fortified, from concentrate, shelf stable",32.082,0.0,7.26,0.0,0.338,0.0,0.0,0.0,0.0
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",41.083,0.57,9.1,0.0,0.267,0.0,0.0,0.0,0.0
2003596,"Tomato juice, with added ingredients, from concentrate, shelf stable",23.308,0.859,4.32,0.0,0.288,0.0,0.0,0.0,0.0
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",46.452,0.812,10.0,0.0,0.356,0.0,0.0,0.0,0.0
2003598,"Mushroom, portabella",36.208,2.75,4.66,1.88,0.312,0.0,0.0,0.0,0.0
2003599,"Mushroom, king oyster",52.431999999999995,2.41,8.5,3.01,0.308,0.0,0.0,0.0,0.0
2003600,"Mushroom, enoki",50.325,2.42,8.14,2.94,0.245,0.0,0.0,0.0,0.0
2003601,"Mushroom, crimini",33.733,3.09,4.01,1.78,0.197,0.0,0.0,0.0,0.0
2003602,"Mushroom, maitake",43.725,2.2,6.6,3.07,0.265,0.0,0.0,0.0,0.0
2003603,"Mushroom, beech",46.081,2.18,6.76,3.14,0.449,0.0,0.0,0.0,0.0
2003604,"Mushroom, pioppini",44.7,3.5,5.76,2.75,0.24,0.0,0.0,0.0,0.0
2257044,"Soy milk, sweetened, plain, refrigerated",40.76,2.78,3.0,0.0,1.96,0.0,0.0,0.0,0.0
2257045,"Almond milk, unsweetened, plain, refrigerated",19.348,0.656,0.671,0.0,1.56,0.0,0.0,0.0,0.0
2257046,"Oat milk, unsweetened, plain, refrigerated",48.337999999999994,0.797,5.1,0.0,2.75,0.0,0.0,0.0,0.0
2258586,"Carrots, mature, raw",54.32300000000001,0.941,10.3,3.1,0.351,0.0,0.0,0.0,0.0
2258587,"Carrots, baby, raw",46.162,0.805,9.08,2.69,0.138,0.0,0.0,0.0,0.0
2258588,"Peppers, bell, green, raw",24.818,0.715,4.78,0.942,0.106,0.0,0.0,0.0,0.0
2258589,"Peppers, bell, yellow, raw",32.905,0.819,6.6,1.07,0.121,0.0,0.0,0.0,0.0
2258590,"Peppers, bell, red, raw",33.638,0.896,6.65,1.16,0.126,0.0,0.0,0.0,0.0
2258591,"Peppers, bell, orange, raw",33.666,0.882,6.7,0.967,0.156,0.0,0.0,0.0,0.0
2259792,"Buttermilk, low fat",42.8,3.46,4.81,0.0,1.08,0.552,0.199,0.0,0.0
2259793,"Yogurt, plain, whole milk",77.88000000000001,3.82,5.57,0.0,4.48,2.32,0.874,0.0,0.0
2259794,"Yogurt, Greek, plain, whole milk",93.63,8.78,4.75,0.0,4.39,2.39,0.958,0.0,0.0
2259795,"Cheese, parmesan, grated, refrigerated",403.22,30.1,4.33,0.0,29.5,17.2,6.02,0.0,0.0
2259796,"Cheese, feta, whole milk, crumbled",273.02,19.7,5.58,0.0,19.1,11.2,4.18,0.0,0.0
2261420,"Flour, almond",639.94,26.2,16.2,9.27,50.2,0.0,0.0,0.0,0.0
2261421,"Flour, oat, whole grain",410.19000000000005,13.2,69.9,10.5,6.31,0.0,0.0,0.0,0.0
2261422,"Flour, potato",371.39900000000006,8.11,79.9,5.4,0.951,0.0,0.0,0.0,0.0
2262072,"Peanut butter, creamy",644.04,24.0,22.7,6.32,49.4,8.42,30.7,9.78,0.0
2262073,"Sesame butter, creamy",713.94,19.7,14.2,8.37,62.4,8.97,22.6,26.4,0.0
2262074,"Almond butter, creamy",664.44,20.8,21.2,9.72,53.0,4.25,34.7,12.6,0.0
2262075,"Flaxseed, ground",591.5,18.0,34.4,23.1,37.3,3.28,5.94,24.7,0.0
